ClassName,AttackerName,ActiveTime
CommandPattern.Idle,2pPlayer,2.579998
CommandPattern.ForwardWalk,1pPlayer,2.599998
CommandPattern.Idle,2pPlayer,2.599998
CommandPattern.ForwardWalk,1pPlayer,2.619998
CommandPattern.Idle,2pPlayer,2.619998
CommandPattern.Idle,1pPlayer,2.639998
CommandPattern.Idle,2pPlayer,2.639998
CommandPattern.Idle,1pPlayer,2.659998
CommandPattern.Idle,2pPlayer,2.659998
CommandPattern.Idle,1pPlayer,2.679998
CommandPattern.Idle,2pPlayer,2.679998
CommandPattern.Idle,1pPlayer,2.699998
CommandPattern.Idle,2pPlayer,2.699998
CommandPattern.Idle,1pPlayer,2.719998
CommandPattern.Idle,2pPlayer,2.719998
CommandPattern.Idle,1pPlayer,2.739998
CommandPattern.Idle,2pPlayer,2.739998
CommandPattern.Idle,1pPlayer,2.759998
CommandPattern.Idle,2pPlayer,2.759998
CommandPattern.Idle,1pPlayer,2.779998
CommandPattern.Idle,2pPlayer,2.779998
CommandPattern.Idle,1pPlayer,2.799998
CommandPattern.Idle,2pPlayer,2.799998
CommandPattern.Idle,1pPlayer,2.819998
CommandPattern.Idle,2pPlayer,2.819998
CommandPattern.Idle,1pPlayer,2.839998
CommandPattern.Idle,2pPlayer,2.839998
CommandPattern.Idle,1pPlayer,2.859998
CommandPattern.Idle,2pPlayer,2.859998
CommandPattern.ForwardWalk,1pPlayer,2.879998
CommandPattern.Idle,2pPlayer,2.879998
CommandPattern.ForwardWalk,1pPlayer,2.899998
CommandPattern.Idle,2pPlayer,2.899998
CommandPattern.ForwardWalk,1pPlayer,2.919998
CommandPattern.Idle,2pPlayer,2.919998
CommandPattern.ForwardWalk,1pPlayer,2.939998
CommandPattern.Idle,2pPlayer,2.939998
CommandPattern.ForwardWalk,1pPlayer,2.959998
CommandPattern.Idle,2pPlayer,2.959998
CommandPattern.Idle,1pPlayer,2.979998
CommandPattern.Idle,2pPlayer,2.979998
CommandPattern.Idle,1pPlayer,2.999998
